"URL_INFO","NOM_TITULA","NOMBRE_UNIV","NOMBRE_CENTRO","TIPO_UNIV_CENTRO","PRESENCIALIDAD","IDIOMAEXTRANJERO","PLAZAS","NOTA_CORTE","NOTA_CORTE_ANT","NOTA_ADMISION","RENDIMIENTO","CREDITOS","PRECIO","TASA_AFIL"
"https://estudios.unizar.es/estudio/lista-ramas?tipo_id=5","Grado en Ingeniería en Diseño Industrial y Desarrollo de Producto","Universidad de Zaragoza","Escuela de Ingeniería y Arquitectura (Zaragoza)","Pública / Propio","Sí","No",75,8.99,10.9,11.95,82,240,21.1,75.6
"http://www.ugr.es/pages/estudios/grado","Grado en Derecho","Universidad de Granada","Facultad de Ciencias Sociales y Jurídicas de Melilla (Melilla)","Pública / Propio","Sí","No",NA,NA,NA,NA,71,240,12.62,NA
"http://www.ugr.es/pages/estudios/grado","Grado en Derecho","Universidad de Granada","Facultad de Derecho (Granada)","Pública / Propio","Sí","No",500,8.7,7.95,10.44,71,240,12.62,43
"http://www.ugr.es/pages/estudios/grado","Grado en Conservación y Restauración de Bienes Culturales","Universidad de Granada","Facultad de Bellas Artes (Granada)","Pública / Propio","Sí","No",50,7.73,8.54,10.07,83,240,12.62,35.3
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Antropología Social y Cultural","Universidad de Barcelona","Facultad de Geografía e Historia (Barcelona)","Pública / Propio","Sí","No",120,5,5,8.7,84,240,17.69,70.8
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Geografía","Universidad de Barcelona","Facultad de Geografía e Historia (Barcelona)","Pública / Propio","Sí","No",60,5,5,6.95,72,240,17.69,66.8
"https://www.url.edu/es/estudios/grados","Grado en Diseño","Universidad Ramon Llull","Escuela Superior de Diseño ESDI (Barcelona)","Privada / Adscrito**","Sí","No",140,NA,NA,NA,90,240,NA,75.5
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Ciencias Biomédicas","Universidad de Barcelona","Facultad de Medicina y Ciencias de la Salud (Barcelona)","Pública / Propio","Sí","No",NA,NA,NA,NA,95,240,18.46,NA
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Ciencias Biomédicas","Universidad de Barcelona","Facultad de Biología (Barcelona)","Pública / Propio","Sí","No",165,12.54,12.56,12.79,95,240,18.46,NA
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Maestro de Educación Infantil","Universidad de Barcelona","Facultad de Educación (Barcelona)","Pública / Propio","Sí","No",200,9.14,8.87,9.94,97,240,17.69,90.3
"https://www.ehu.eus/es/web/estudiosdegrado-gradukoikasketak/grados-actual","Grado en Enfermería","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Escuela Universitaria de Enfermería de Vitoria-Gasteiz (Araba/Álava)","Pública / Adscrito**","Sí","No",80,11.83,12.06,12.39,97,240,18.92,93.4
"https://www.ehu.eus/es/web/estudiosdegrado-gradukoikasketak/grados-actual","Grado en Enfermería","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería (Bizkaia)","Pública / Propio","Sí","No",170,12.1,12.19,12.46,97,240,18.92,NA
"https://www.ehu.eus/es/web/estudiosdegrado-gradukoikasketak/grados-actual","Grado en Enfermería","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería. Sección Guipuzcoa (Gipuzkoa)","Pública / Propio","Sí","No",125,11.66,11.96,12.27,97,240,18.92,NA
"https://www.ehu.eus/es/web/estudiosdegrado-gradukoikasketak/grados-actual","Grado en Ciencias Ambientales","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Farmacia (Araba/Álava)","Pública / Propio","Sí","No",50,8.04,9.77,11.02,74,240,18.85,60.1
"https://www.uab.cat/web/estudiar/grado/oferta-de-grados/todos-los-grados-1345667068600.html","Grado en Medicina","Universidad Autónoma de Barcelona","Facultad de Medicina (Barcelona)","Pública / Propio","Sí","No",350,12.74,12.75,12.84,90,360,18.46,90.4
"https://www.uab.cat/web/estudiar/grado/oferta-de-grados/todos-los-grados-1345667068600.html","Grado en Relaciones Laborales","Universidad Autónoma de Barcelona","Facultad de Derecho (Barcelona)","Pública / Propio","Sí","No",125,8,7.8,9.08,87,240,17.69,81.7
"https://www.uab.cat/web/estudiar/grado/oferta-de-grados/todos-los-grados-1345667068600.html","Grado en Historia del Arte","Universidad Autónoma de Barcelona","Facultad de Filosofía y Letras (Barcelona)","Pública / Propio","Sí","No",80,5,5,8.23,87,240,17.69,73.6
"http://www.uc3m.es/ss/Satellite/Grado/es/ListadoGrados/1371212987094/Oferta_de_titulaciones","Grado en Turismo/Bachelor in Tourism","Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas. Sección Colmenarejo (Madrid)","Pública / Propio","Sí","No",NA,NA,NA,NA,90,240,16.92,65.4
"http://www.uc3m.es/ss/Satellite/Grado/es/ListadoGrados/1371212987094/Oferta_de_titulaciones","Grado en Turismo/Bachelor in Tourism","Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas (Madrid)","Pública / Propio","Sí","No",35,8.75,8.15,9.25,90,240,16.92,NA
"http://www.uc3m.es/ss/Satellite/Grado/es/ListadoGrados/1371212987094/Oferta_de_titulaciones","Grado en Sociología/Bachelor in Sociology","Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas (Madrid)","Pública / Propio","Sí","No",30,9.65,9.54,10.47,86,240,16.92,NA
"https://www.deusto.es/es/inicio/estudia/estudios/grados","Grado en Lengua y Cultura Vasca / Euskal Hizkuntza eta Kultura","Universidad de Deusto","Facultad de Ciencias Sociales y Humanas (Bizkaia)","Privada / Propio","Sí","No",NA,NA,NA,NA,NA,240,NA,NA
"http://www.ie.edu/es/universidad/estudios/oferta-academica","Grado en Administración de Empresas / Bachelor in Business Administration","IE Universidad","Facultad de Ciencias Humanas, Sociales y de Comunicación (Segovia)","Privada / Propio","Sí","Sí*",NA,NA,NA,NA,87,240,NA,NA
"http://www.ie.edu/es/universidad/estudios/oferta-academica","Grado en Administración de Empresas / Bachelor in Business Administration","IE Universidad","Centro de Estudios Superiores IE (Madrid)","Privada / Adscrito**","Sí","Sí*",NA,NA,NA,NA,87,240,NA,NA
"http://www.ie.edu/es/universidad/estudios/oferta-academica","Grado en Comunicación y Medios Digitales / Bachelor in Communication and Digital Media","IE Universidad","Centro de Estudios Superiores IE (Madrid)","Privada / Adscrito**","Sí","Sí*",NA,NA,NA,NA,99,240,NA,NA
"http://www.ie.edu/es/universidad/estudios/oferta-academica","Grado en Comunicación y Medios Digitales / Bachelor in Communication and Digital Media","IE Universidad","Facultad de Ciencias Humanas, Sociales y de Comunicación (Segovia)","Privada / Propio","Sí","Sí*",NA,NA,NA,NA,99,240,NA,NA
"http://www.uniovi.es/estudios/grados","Grado en Náutica y Transporte Marítimo","Universidad de Oviedo","Escuela Superior de Marina Civil (Asturias)","Pública / Propio","Sí","No",36,5.47,5.6,9.69,59,240,12.3,NA
"http://www.uniovi.es/estudios/grados","Grado en Geología","Universidad de Oviedo","Facultad de Geología (Asturias)","Pública / Propio","Sí","No",50,5.53,5.6,8.15,67,240,12.3,NA
"http://www.uniovi.es/estudios/grados","Grado en Comercio y Marketing","Universidad de Oviedo","Facultad de Comercio, Turismo y Ciencias Sociales Jovellanos (Asturias)","Pública / Propio","Sí","No",200,5.91,5.23,9.03,76,240,12.3,73.9
"http://madrid.universidadeuropea.es/estudios-universitarios/grados","Grado en Medicina","Universidad Europea de Madrid","Facultad de Ciencias Biomédicas y de la Salud. Campus Villaviciosa y Alcobendas  (Madrid)","Privada / Propio","Sí","No",220,NA,NA,NA,81,360,NA,88.4
"http://madrid.universidadeuropea.es/estudios-universitarios/grados","Grado en Derecho","Universidad Europea de Madrid","Centro de Estudios Garrigues (Madrid)","Privada / Adscrito**","Varias modalidades*","Sí*",NA,NA,NA,NA,89,240,NA,NA
"http://madrid.universidadeuropea.es/estudios-universitarios/grados","Grado en Derecho","Universidad Europea de Madrid","Facultad de Ciencias Sociales y de la Comunicación. Campus Villaviciosa y Alcobendas  (Madrid)","Privada / Propio","Varias modalidades*","Sí*",NA,NA,NA,NA,89,240,NA,NA
"https://www.universidadviu.com/es/programas/grados","Grado en Administración y Dirección de Empresas","Universidad Internacional Valenciana","Facultad de Ciencias Sociales y Jurídicas (Valencia/València)","Privada / Propio","No","No",NA,NA,NA,NA,73,240,NA,NA
"https://www.ehu.eus/es/web/estudiosdegrado-gradukoikasketak/grados-actual","Grado en Estudios Ingleses","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Letras (Araba/Álava)","Pública / Propio","Sí","Sí*",100,9.57,9.72,11.05,85,240,13.42,81.9
"https://www.ehu.eus/es/web/estudiosdegrado-gradukoikasketak/grados-actual","Grado en Economía","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Economía y Empresa (Bizkaia)","Pública / Propio","Sí","Sí*",95,7.51,9.21,10.72,62,240,13.72,NA
